Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Unif / Tung-I,Onion Flavor,Pack,Taiwan,3.65,pepper free,pepper free,0,Asia
Unif / Tung-I,Artificial Spicy Beef,Pack,Taiwan,3.5,spicy,spicy,"(2500, 10000)",Asia
Unif / Tung-I,Artificial Chicken,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Wei Lih,Jah Jan Mien Instant Noodle With Fried Soybean Paste,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Ve Wong,A-One Bun Tom Shrimp,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,Bowl,Taiwan,0,pepper free,pepper free,0,Asia
Tung-I,Chinese Beef Instant Rice Noodle,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Sapporo Ichiban,Tonkotsu Ramen Japanese Style Noodles,Bowl,United States,4.5,pepper free,mild,"(100, 2500)",North America
immi,Tom Yum Shrimp Flavor Ramen Soup,Pack,United States,2.75,pepper free,hot,"(10000, 50000)",North America
immi,Spicy Beef Flavor Ramen Soup,Pack,United States,3.75,spicy,spicy,"(2500, 10000)",North America
Nongshim,Tonkotsu Ramen With Kuromayu Black Garlic Oil,Bowl,United States,4,pepper free,mild,"(100, 2500)",North America
Vite Ramen,Vegan White Miso v1.3 Prototype,Pack,United States,3.75,pepper free,pepper free,0,North America
Myojo,Cold Ramen - Soy Sauce Vinaigrette,Pack,United States,5,pepper free,mild,"(100, 2500)",North America
Aces,Sriracha Ramen Noodle Soup - Extra Spicy,Bowl,United States,3.75,spicy,spicy,"(2500, 10000)",North America
Nissin,Chow Mein Teiyaki Chicken Chow Mein Noodles,Tray,United States,3.75,pepper free,mild,"(100, 2500)",North America
Vite Ramen,Garlic Pork Tonkotsu v1.3 Prototype,Pack,United States,5,pepper free,pepper free,0,North America
immi,Black Garlic Chicken Flavor Ramen Soup,Pack,United States,0.25,pepper free,pepper free,0,North America
Mr. HOO,Rice Noodle Soup Spicy Shrimp Flavor,Tray,United States,3.5,spicy,spicy,"(2500, 10000)",North America
Vite Ramen,Roasted Soy Sauce Chicken v1.3 Prototype,Pack,United States,5,pepper free,mild,"(100, 2500)",North America
Nissin,Cup Noodles Stir Fry Rice With Noodles Thai Yellow Curry Flavor,Cup,United States,5,pepper free,pepper free,0,North America
Noodie,Tonkotsu Irresistible Ramen,Cup,United States,4,pepper free,pepper free,0,North America
Noodie,Smoky Garlic Irresistible Ramen,Cup,United States,0.25,pepper free,pepper free,0,North America
Yumei,Noodle With Scallion Sauce,Box,United States,3,pepper free,pepper free,0,North America
Ramen Express By Chef Woo,Hotter & Spicier Chili Ramen,Pack,United States,5,hot,hot,"(10000, 50000)",North America
Menraku,Japanese Ramen - Spicy Sesame,Bowl,United States,3.75,spicy,spicy,"(2500, 10000)",North America
Nissin,Raoh Miso Flavor Ramen Noodle Soup,Pack,United States,4.5,pepper free,pepper free,0,North America
J-Basket,Japanese Style Noodle Soup Curry Flavor,Bowl,United States,4.5,pepper free,mild,"(100, 2500)",North America
Schylling,Ramen Noodlies,Pack,United States,5,pepper free,pepper free,0,North America
Vite Ramen,Vegan White Miso v1.2,Pack,United States,4,pepper free,pepper free,0,North America
Vite Ramen,Fly By Jing Sichuan Chili Edition v1.2,Pack,United States,5,pepper free,pepper free,0,North America
Mr. Lee's,Congee - Chicken Congee Rice Porridge,Cup,United States,5,pepper free,pepper free,0,North America
Mr. Lee's,Congee - Original Congee Rice Porridge,Cup,United States,5,pepper free,pepper free,0,North America
Noodie,Peanut Chili Irresistible Ramen,Cup,United States,5,pepper free,pepper free,0,North America
Maruchan,Instant Lunch Select Chicken Flavor,Cup,United States,3.5,pepper free,mild,"(100, 2500)",North America
Myojo,Nagasaki Champon - Creamy Tonkotsu,Pack,United States,5,pepper free,pepper free,0,North America
Myojo,Yakisoba - Original Sauce,Pack,United States,5,pepper free,pepper free,0,North America
Vite Ramen,Grilled Ribeye Beef v1.2,Pack,United States,4.75,pepper free,pepper free,0,North America
Myojo,Okinawa Soba Light Bonito Flavor,Pack,United States,4.5,pepper free,pepper free,0,North America
